personLabel,placeLabel,countryLabel,organisationLabel,orgnPlaceLabel,orgnCountryLabel,univLabel,founded
Anders Burius,Eskilstuna,Sverige,Kungliga biblioteket,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Jari Niemelä,Vasa,Finland,Helsingfors universitet,Helsingfors,Finland,Umeå universitet,1965-01-01T00:00:00Z
Tiina Rosenberg,Helsingfors,Finland,Konstuniversitetet,Helsingfors,Finland,Stockholms universitet,1878-01-01T00:00:00Z
Heinz Leymann,Wolfenbüttel,Tyskland,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Doris Benta Maria Löve,Kristianstad,Sverige,University of Manitoba,Manitoba,Kanada,Lunds universitet,1666-12-19T00:00:00Z
Ernst Rosén,Orrefors,Sverige,Stockholms Dagblad,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Tobias Hübinette,Sydjeolla,Sydkorea,Södertörns högskola,Huddinge kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Samuel Clason,Uppsala domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Marta E Alarcón-Riquelme,Rochester,USA,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Wästlund,Falun,Sverige,Linköpings universitet,Linköpings kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Tiina Rosenberg,Helsingfors,Finland,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Johan Wästlund,Falun,Sverige,Chalmers tekniska högskola,Göteborgs kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Torsten R. Åström,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Hannes Alfvén,Norrköping,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Emanuel Björling,Västerås domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Stefan Axberg,Eskilstuna Klosters församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Nils von Hofsten,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Thor Thorén,Norrköping,Sverige,Konstfack,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Felix Mitelman,Wolbrom,Polen,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Sonja Lyttkens,Engelbrekts församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hjalmar Kempff,Längbro församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johannes Bilberg,Mariestads församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Peter Hansbo,Danderyds församling,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Chalmers tekniska högskola,1829-01-01T00:00:00Z
Arne Bjerhammar,Båstad,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Helge von Koch,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Bengt Hultqvist,Hemmesjö med Tegnaby församling,Sverige,International Space Science Institute,Bern,Schweiz,Stockholms universitet,1878-01-01T00:00:00Z
Hildemar Hildebrand,Stockholm,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Sven Å Christianson,Sundbybergs församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Doris Benta Maria Löve,Kristianstad,Sverige,Islands universitet,Reykjavik,Island,Lunds universitet,1666-12-19T00:00:00Z
Joachim Israel,Karlsruhe,Tyskland,Köpenhamns universitet,Köpenhamns kommun,Danmark,Stockholms universitet,1878-01-01T00:00:00Z
Joachim Israel,Karlsruhe,Tyskland,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Paul J. Crutzen,Amsterdam,Nederländerna,Universitetet i Utrecht,Utrecht,Nederländerna,Stockholms universitet,1878-01-01T00:00:00Z
Rudolf Florin,Solna kommun,Sverige,Bergianska trädgården,Frescati,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Christer Betsholtz,Stockholm,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lars Engwall,Gävle församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Åke Öberg,Härnösand,Sverige,Linköpings universitet,Linköpings kommun,Sverige,Chalmers tekniska högskola,1829-01-01T00:00:00Z
Börje Wickberg,Stockholm,Sverige,Lunds universitet,Lunds kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Agneta Marell,Göteborg,Sverige,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Hannes Alfvén,Norrköping,Sverige,"University of California, San Diego",La Jolla,USA,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Wilhelm Netzel,Katarina församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hans Bielenstein,Stockholm,Sverige,Australian National University,Canberra,Australien,Stockholms universitet,1878-01-01T00:00:00Z
Sverker Sörlin,Åsele,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Gustav Cassel,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Richard Swedberg,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Erik Olof Burman,Umeå landsförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Harry von Eckermann,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Theodor Kallifatides,Moláoi,Grekland,Stockholms universitet,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Anders J Thor,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Sten Henrysson,Linköping,Sverige,Umeå universitet,Umeå kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Geo Widengren,Stockholm,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Herman Dahlberg,Storkyrkoförsamlingen,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Ingmar Bengtsson,Stockholm,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gösta Ehrensvärd,Stockholm,Sverige,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Christer Fuglesang,Nacka,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Sten Berglund (statsvetare),Järbo,Sverige,Åbo Akademi,Vasa,Finland,Umeå universitet,1965-01-01T00:00:00Z
Pam Fredman,Göteborg,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Chalmers tekniska högskola,1829-01-01T00:00:00Z
Paul J. Crutzen,Amsterdam,Nederländerna,Amsterdam,Noord-Holland,Nederländerna,Stockholms universitet,1878-01-01T00:00:00Z
Eva Åkesson,Ängelholms församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Nils Sundius,Bankekind,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Sverker Sörlin,Åsele,Sverige,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Sören Wibe,Östersund,Sverige,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Guy von Dardel,Stockholm,Sverige,Lunds universitet,Lunds kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Eva Åkesson,Ängelholms församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Rolf Dahlgren,Köpenhamn,Danmark,Köpenhamns universitet,Köpenhamns kommun,Danmark,Lunds universitet,1666-12-19T00:00:00Z
Olav Kallenberg,Stockholm,Sverige,Auburn University,Auburn,USA,Chalmers tekniska högskola,1829-01-01T00:00:00Z
Lars E.O. Svensson,Örnsköldsvik,Sverige,Princeton University,Princeton,USA,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Svante Linusson,Göteborg,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Jonas Nensén,Själevads församling,Sverige,Dorotea kyrka,Dorotea kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Per-Olof H. Wikström,Uppsala,Sverige,Universitetet i Cambridge,Cambridgeshire,Storbritannien,Stockholms universitet,1878-01-01T00:00:00Z
Percy Elfstrand,Gävle församling,Sverige,Kungliga biblioteket,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Alfred Grenander,Skövde,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Gunnar Täckholm,Adolf Fredriks församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Erland Hofsten,Uppsala domkyrkoförsamling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Thomas Hakon Grönwall,Dylta bruk,Sverige,Princeton University,Princeton,USA,Stockholms universitet,1878-01-01T00:00:00Z
Paul J. Crutzen,Amsterdam,Konungariket Nederländerna,Stockholms universitet,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Per Martin-Löf,Jakobs församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Anders Lindquist,Lund,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Abraham Peter Cronholm,Landskrona församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Christian Lundahl,Örebro,Sverige,Örebro universitet,Örebro kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Melchior Wernstedt,Strängnäs,Sverige,Chalmers tekniska högskola,Göteborgs kommun,Sverige,Chalmers tekniska högskola,1829-01-01T00:00:00Z
Tarja Karlsson Häikiö,Uleåborg,Finland,Göteborgs universitet,Göteborgs kommun,Sverige,Göteborgs universitet,1954-07-01T00:00:00Z
Bo Södersten,Grängesberg,Sverige,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Kell Åström,Skurup,Sverige,Lunds universitet,Lunds kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Egor Babaev,Sankt Petersburg,Ryssland,Cornell University,Ithaca,USA,Uppsala universitet,1477-01-01T00:00:00Z
Bertil Ohlin,Klippan,Sverige,Köpenhamns universitet,Köpenhamns kommun,Danmark,Stockholms universitet,1878-01-01T00:00:00Z
Carl Henrik Bergstrand,Hällefors församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Bergenhielm,Kuddby församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Anders Berch,Söderbärke församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lars-Erik Edlund,Björna,Sverige,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Ragnar Holte,Linköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Halina Neujahr,Warszawa,Polen,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Paul Åberg,Malmö,Sverige,Götaverken,Göteborgs kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Sune Bergström,Kungsholms församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Velta Rūķe-Draviņa,Valmiera,Lettland,Lunds universitet,Lunds kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Inger-Lena Lamm,Lund,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Bengt Wallström,Ödsmåls församling,Sverige,Lunds tekniska högskola,Lunds kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Ivar Fredholm,Klara församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Carl Frænell,Bollnäs,Sverige,Bergsunds Mekaniska Verkstad,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Rudolf S. Enblom,Hilleshögby,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Sven Kristensson,Lyngby,Sverige,Deutsches Archäologisches Institut,Berlin,Tyskland,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Sune Bergström,Kungsholms församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Stefan Sjöberg,Stockholm,Sverige,Karolinska Universitetssjukhuset,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Anders Söderholm,Morjärv,Sverige,Mittuniversitetet,Jämtlands län,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Svante Lindqvist,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Kim Waldén,Göteborg,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Christina Engdahl,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Björn Engquist,Stockholm,Sverige,Princeton University,Princeton,USA,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Marianne Rasmuson,Tokyo,Japan,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
